Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self               self     total           
 time   seconds   seconds     calls   s/call   s/call  name    
  0.00      3.13     0.00   3190573     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >& std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::emplace_back<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      3.13     0.00   3190573     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::back()
  0.00      3.13     0.00   3190573     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long)
  0.00      3.13     0.00   3190573     0.00     0.00  void std::_Construct<std::vector<tile, std::allocator<tile> >>(std::vector<tile, std::allocator<tile> >*)
  0.00      3.13     0.00   2076336     0.00     0.00  wordScore::wordScore(wordScore const&)
  0.00      3.13     0.00   1459270     0.00     0.00  letterToPrime(char)
  0.00      3.13     0.00    936694     0.00     0.00  bestSubanagrams(std::vector<tile, std::allocator<tile> > const&, int*, float, int, char**, __int128*, int, int*, bool)::{lambda(wordScore, wordScore)#2}::operator()(wordScore, wordScore) const
  0.00      3.13     0.00    775292     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::base() const
  0.00      3.13     0.00    614903     0.00     0.00  wordScore::operator=(wordScore&&)
  0.00      3.13     0.00    597373     0.00     0.00  __gnu_cxx::__normal_iterator<wordScore*, std::vector<wordScore, std::allocator<wordScore> > >::operator--()
  0.00      3.13     0.00    559945     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      3.13     0.00    547884     0.00     0.00  bool __gnu_cxx::__ops::_Val_comp_iter<bestSubanagrams(std::vector<tile, std::allocator<tile> > const&, int*, float, int, char**, __int128*, int, int*, bool)::{lambda(wordScore, wordScore)#2}>::operator()<wordScore, __gnu_cxx::__normal_iterator<wordScore*, std::vector<wordScore, std::allocator<wordScore> > > >(wordScore&, __gnu_cxx::__normal_iterator<wordScore*, std::vector<wordScore, std::allocator<wordScore> > >)
  0.00      3.13     0.00    537945     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      3.13     0.00    537945     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      3.13     0.00    537945     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      3.13     0.00    537945     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      3.13     0.00    532445     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      3.13     0.00    532445     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      3.13     0.00    532445     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      3.13     0.00    532445     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      3.13     0.00    532445     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      3.13     0.00    527054     0.00     0.00  bool __gnu_cxx::operator!=<wordScore*, std::vector<wordScore, std::allocator<wordScore> > >(__gnu_cxx::__normal_iterator<wordScore*, std::vector<wordScore, std::allocator<wordScore> > > const&, __gnu_cxx::__normal_iterator<wordScore*, std::vector<wordScore, std::allocator<wordScore> > > const&)
  0.00      3.13     0.00    485440     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      3.13     0.00    438290     0.00     0.00  __gnu_cxx::__normal_iterator<wordScore*, std::vector<wordScore, std::allocator<wordScore> > >::operator++()
  0.00      3.13     0.00    438290     0.00     0.00  wordScore::wordScore(wordScore&&)
  0.00      3.13     0.00    438290     0.00     0.00  std::_Vector_base<tile, std::allocator<tile> >::_Vector_impl::_Vector_impl(std::_Vector_base<tile, std::allocator<tile> >::_Vector_impl&&)
  0.00      3.13     0.00    438290     0.00     0.00  std::_Vector_base<tile, std::allocator<tile> >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<tile, std::allocator<tile> >::_Vector_impl_data&&)
  0.00      3.13     0.00    438290     0.00     0.00  std::_Vector_base<tile, std::allocator<tile> >::_Vector_base(std::_Vector_base<tile, std::allocator<tile> >&&)
  0.00      3.13     0.00    438290     0.00     0.00  std::vector<tile, std::allocator<tile> >::vector(std::vector<tile, std::allocator<tile> >&&)
  0.00      3.13     0.00    438290     0.00     0.00  std::remove_reference<std::_Vector_base<tile, std::allocator<tile> >::_Vector_impl&>::type&& std::move<std::_Vector_base<tile, std::allocator<tile> >::_Vector_impl&>(std::_Vector_base<tile, std::allocator<tile> >::_Vector_impl&)
  0.00      3.13     0.00    409726     0.00     0.00  __gnu_cxx::__normal_iterator<tile*, std::vector<tile, std::allocator<tile> > >::operator*() const
  0.00      3.13     0.00    388810     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<bestSubanagrams(std::vector<tile, std::allocator<tile> > const&, int*, float, int, char**, __int128*, int, int*, bool)::{lambda(wordScore, wordScore)#2}>::operator()<__gnu_cxx::__normal_iterator<wordScore*, std::vector<wordScore, std::allocator<wordScore> > >, __gnu_cxx::__normal_iterator<wordScore*, std::vector<wordScore, std::allocator<wordScore> > > >(__gnu_cxx::__normal_iterator<wordScore*, std::vector<wordScore, std::allocator<wordScore> > >, __gnu_cxx::__normal_iterator<wordScore*, std::vector<wordScore, std::allocator<wordScore> > >)
  0.00      3.13     0.00    387646     0.00     0.00  bool __gnu_cxx::operator!=<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      3.13     0.00    385271     0.00     0.00  __gnu_cxx::__ops::_Val_comp_iter<bestSubanagrams(std::vector<tile, std::allocator<tile> > const&, int*, float, int, char**, __int128*, int, int*, bool)::{lambda(wordScore, wordScore)#2}>::_Val_comp_iter(__gnu_cxx::__ops::_Iter_comp_iter<bestSubanagrams(std::vector<tile, std::allocator<tile> > const&, int*, float, int, char**, __int128*, int, int*, bool)::{lambda(wordScore, wordScore)#2}>&&)
  0.00      3.13     0.00    385271     0.00     0.00  __gnu_cxx::__ops::_Val_comp_iter<bestSubanagrams(std::vector<tile, std::allocator<tile> > const&, int*, float, int, char**, __int128*, int, int*, bool)::{lambda(wordScore, wordScore)#2}> __gnu_cxx::__ops::__val_comp_iter<bestSubanagrams(std::vector<tile, std::allocator<tile> > const&, int*, float, int, char**, __int128*, int, int*, bool)::{lambda(wordScore, wordScore)#2}>(__gnu_cxx::__ops::_Iter_comp_iter<bestSubanagrams(std::vector<tile, std::allocator<tile> > const&, int*, float, int, char**, __int128*, int, int*, bool)::{lambda(wordScore, wordScore)#2}>)
